delta ch(1),theta ch(1),alpha ch(1),beta ch(1),gamma ch(1),delta ch(2),theta ch(2),alpha ch(2),beta ch(2),gamma ch(2),delta ch(3),theta ch(3),alpha ch(3),beta ch(3),gamma ch(3),delta ch(4),theta ch(4),alpha ch(4),beta ch(4),gamma ch(4),delta ch(5),theta ch(5),alpha ch(5),beta ch(5),gamma ch(5),delta ch(6),theta ch(6),alpha ch(6),beta ch(6),gamma ch(6),delta ch(7),theta ch(7),alpha ch(7),beta ch(7),gamma ch(7),delta ch(8),theta ch(8),alpha ch(8),beta ch(8),gamma ch(8),delta ch(9),theta ch(9),alpha ch(9),beta ch(9),gamma ch(9),delta ch(10),theta ch(10),alpha ch(10),beta ch(10),gamma ch(10),delta ch(11),theta ch(11),alpha ch(11),beta ch(11),gamma ch(11),delta ch(12),theta ch(12),alpha ch(12),beta ch(12),gamma ch(12),delta ch(13),theta ch(13),alpha ch(13),beta ch(13),gamma ch(13),delta ch(14),theta ch(14),alpha ch(14),beta ch(14),gamma ch(14),state
103.269475,35.30161057,58.78894471,42.19933658,23.23092955,126.1988153,32.73846369,54.09338086,43.80519566,12.2471933,158.6496745,46.68357048,63.84779025,48.68382824,21.15581546,195.2973358,40.66227946,53.97833914,47.33708173,13.53307308,76.93464981,17.49408279,31.8381897,58.89151513,34.36626646,59.45473966,11.38315716,22.40934258,24.11417879,16.24371277,73.81679304,15.70271316,29.03559833,37.94797544,21.39066638,128.9997939,34.31877261,71.4571679,62.99548701,22.58457883,69.10995594,28.94831353,53.55385149,59.88755662,21.80587446,103.6849348,50.00479126,83.03020876,97.05783487,33.01466074,259.8392723,75.50586286,102.7609463,87.57619767,24.96426085,499.4352363,80.0663895,86.97120024,67.13759967,16.81719887,144.007035,38.63617248,71.20049715,54.20312003,13.69698464,92.10764143,35.31420394,60.8883146,41.6220161,18.97623554,1
403.6695268,41.65404089,40.19512368,48.58173337,26.78881954,505.8393144,36.50157727,38.84293122,53.48647305,19.80878586,698.5643986,54.47630427,44.97186499,56.22507306,25.81891681,504.2117956,40.83522482,40.84912155,57.95854847,19.63946201,544.9917267,22.41725832,21.15477803,86.60554274,64.17487346,339.1544509,13.80394331,19.86015094,38.62242685,26.15426168,328.7640962,18.30231914,31.88262187,46.14817998,26.96650859,467.1362495,35.50962462,57.38935763,68.78687447,27.88560293,298.6009579,31.90224186,46.4424022,67.03740847,29.04294294,651.1461,59.9587603,74.12153714,112.1420506,55.4098701,622.5866279,70.34616988,78.91306903,85.63971132,23.94508703,647.6604001,75.00839661,64.01915523,63.88749838,18.99607627,431.5761966,48.78991549,60.51686246,61.59290278,20.15743719,377.7358948,43.06661883,47.57193434,45.94650804,23.21101734,1
279.6819131,42.72869149,59.15894332,60.1584313,43.38838712,580.3509717,41.43164326,53.96146248,69.93384492,31.86477924,1839.597297,48.76227481,68.76675534,64.00625996,42.9650033,319.8316316,47.79628023,62.05494708,65.72676708,25.70160629,365.1422561,25.50768236,31.4795339,154.5920066,131.0221147,293.5798442,20.37281917,25.94637341,49.46527778,34.0798349,244.7691319,25.73772002,45.21879935,55.25736602,33.01630089,523.0741046,49.70632381,81.59433057,78.62242245,34.32497848,280.5471465,36.81024517,52.88741155,85.09143633,46.90579504,407.2150008,58.53951124,85.70229524,146.5787033,97.62229637,354.486455,67.91294856,106.1474765,98.97504192,31.43933811,362.9747831,62.71864938,85.96686506,74.46285858,25.43417844,322.5882696,49.68968247,76.73078005,74.87674276,26.71268522,253.1488353,46.14867959,62.59738658,57.1155524,40.4431408,1
71.57652787,38.84435245,55.1630058,57.25810159,33.05165268,87.05842945,37.38081541,47.81660304,59.31198034,19.49160133,184.2493158,46.7898735,59.19947537,61.74939138,35.9524047,110.6693301,42.29305924,49.42247738,62.89827746,22.72970007,77.3837936,22.89959068,31.20964588,68.4436187,33.24524241,44.85854813,14.71823775,26.10970903,37.80062501,19.86762259,61.37023924,19.66060743,30.7986022,50.83932103,25.79828555,77.94424817,40.7304163,86.20598426,77.93895412,29.21588109,46.12072155,31.74941738,54.77506933,71.18835693,28.26416339,70.89123366,52.07899353,82.38147918,103.8304753,42.09136361,92.31720451,60.02475089,94.63715529,92.37724886,25.23634155,87.40104175,47.98590707,72.4781166,68.59275715,21.45135859,124.0931024,45.41537681,73.9855842,69.5534245,19.4414546,59.36532739,34.60492917,63.03569684,53.39942085,27.53063788,1
116.145982,49.99554407,59.26639443,53.2697441,32.98448944,163.0375311,47.37747501,53.462605,58.57998457,17.21247267,154.3284322,58.83964951,61.73293031,59.01129847,36.49949401,153.3184058,52.16806898,57.23283376,62.0735714,19.80669601,126.2875663,32.57861028,35.73835214,63.65503697,29.12774724,113.8302563,21.64361749,31.22458643,36.15233823,16.74326687,114.5188875,24.41177708,36.90805767,49.15786028,23.66241773,165.414285,39.6800787,75.0736843,61.95823027,22.42844597,104.2583374,35.22599618,66.16595632,63.1544919,21.14121617,136.7927429,56.17106464,79.94273483,96.42183189,31.94660407,158.2532808,70.90695436,81.6598665,85.40159862,22.41030656,141.1985668,63.21977863,68.28262279,64.81911765,18.61068489,139.7547759,52.28548811,64.24915964,62.50872489,16.91530277,108.3675898,50.11850305,61.49374764,49.699174,26.49577952,1
501.6767195,88.08299756,71.23616526,83.94132543,36.9201799,640.7799927,91.86128904,67.91049826,88.89102711,21.91315261,604.660156,107.5685066,78.98501198,90.52877232,42.9145903,682.9970618,99.82026167,72.48060257,93.32500398,23.16130785,639.9734537,68.2617757,56.44109693,77.20563279,30.11904111,573.9144856,51.47679757,51.51096535,59.51335494,22.64455256,520.1485153,50.63509924,56.3064065,75.3031002,30.71425175,618.7520457,78.06999995,95.33345301,98.97667362,27.62361425,452.3242039,68.21815683,85.6458123,88.27129124,23.60805036,665.0457098,105.7442881,108.892325,124.5490464,31.3475712,718.2381336,127.2151855,100.4362767,120.7957385,24.7798468,655.2219089,123.0245561,86.50697409,96.64335794,21.51979879,542.9426442,99.05192483,79.94457172,92.76036888,18.84570316,446.0310961,85.94680931,75.7425453,78.75364899,29.73756993,1
148.3745776,72.27341632,81.68134562,61.24440232,38.69950609,193.253043,62.85768268,80.00566013,64.44941269,19.66085547,169.8586561,74.33488156,87.98278134,65.68430571,43.92834559,173.8054139,67.78777667,86.92417926,68.102932,21.44701259,149.8746131,41.96371538,43.78068343,62.40023843,30.12074197,129.3133837,35.30415163,36.4349475,42.57332095,18.50430516,128.5650975,37.95254223,34.97907294,57.92066823,25.62946777,187.3414114,54.63317226,68.86672731,77.88864397,23.72368162,119.1389819,52.60580393,70.918657,72.30091078,21.33575056,158.1570998,73.59413758,89.83268153,103.3005417,28.65006455,196.7668762,83.82542885,105.1823971,99.63919652,25.02236447,296.6646331,89.75963175,97.398238,76.56160162,21.26011295,183.9044303,61.01578772,78.28492289,76.10656205,18.36460325,139.1724059,67.99950201,76.3446714,61.56549382,30.46690367,1
259.8589721,146.6357868,85.67078731,98.1550554,39.27413138,333.310627,164.0372669,87.21409842,104.2303311,23.19125325,438.7031228,160.501393,100.3724401,98.67197046,47.36772811,342.029362,168.5722992,96.99368636,107.5830997,25.22157751,297.8665467,153.6297073,65.10937502,95.18842897,32.07451887,261.2751383,144.2230176,55.26970902,72.33890461,22.65542481,257.8715526,147.554491,56.37377944,85.46010941,31.5939775,310.9824676,175.5411654,108.8135269,108.0718029,29.34221174,190.5751861,137.5664058,94.17775954,100.5027076,26.44224423,280.4386575,192.1191287,127.1329555,143.5152862,34.03940115,363.9307425,203.3666839,136.4622857,136.3181146,27.99062961,332.8108081,171.4958169,113.5143558,109.699921,23.85579035,282.9354195,150.9576256,100.5948568,102.948843,23.77285367,234.5105844,137.458903,87.55534115,93.2460315,31.5079635,1
3733.659303,178.4377955,111.5025618,91.50803105,35.52593218,4771.973834,210.1787615,110.5763576,102.9037133,24.18743847,4384.232273,198.1462455,116.7013005,128.8329651,52.05794883,4791.790653,218.5517524,117.6900104,107.5639554,26.40024551,4741.552662,199.0978965,82.91112215,96.75782063,29.82565845,4327.510663,179.1789925,76.12206476,78.62345802,23.23805768,3824.428985,168.3794553,74.34994189,87.86333197,29.21986912,4143.459045,195.8158645,121.468727,105.4310531,27.99237498,3264.023826,155.439677,108.7406747,94.48916303,24.36590156,4737.192096,223.6429423,143.6860792,131.9680552,31.25409872,4953.725837,235.9094444,153.2211762,130.4075002,27.64405294,4912.255019,232.4578717,149.1011978,118.0834922,28.585939,3858.159845,179.1948886,116.4628126,101.1814775,21.40128065,3433.403745,167.2298313,113.7896403,87.58135018,28.46705429,1
366.2691068,51.76298095,92.88731942,69.83666472,29.68329768,467.2769862,52.53659256,85.088481,72.64045913,17.98514252,479.1765263,52.77690609,85.75576088,73.49155634,39.91326493,531.7452264,60.25730004,80.72756437,75.71027356,19.74816935,455.7466639,40.37787283,57.92340683,74.94994676,41.76725296,318.1815431,28.71047278,48.49938644,46.4981566,23.60549352,323.7291894,33.7077905,65.84229862,63.73581513,30.10524563,324.5709647,53.77878272,121.8031421,84.11635181,22.08319046,267.4410013,51.40940566,90.31893652,76.1347569,23.01566345,441.356044,76.35013078,121.953467,111.6086522,39.13314546,456.4402853,77.15614482,134.6896583,99.8733324,22.31379766,450.2026853,65.28535309,117.0149065,89.48706244,20.12341443,401.609079,58.47908231,111.9511498,79.08533828,17.80062057,318.5573539,52.94510659,101.7630582,68.47139317,23.85725441,1
